country,population_rural_90,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub,cvd_25_mort_rural_est,cvd_25_mort_rural_lb,cvd_25_mort_rural_ub
Bulgaria,2961727,963.9,519.0,1432.1,32.5,17.5,48.4
Czech Republic,3436451,1117.3,601.8,1654.0,32.5,17.5,48.1
Hungary,4044622,1229.9,663.7,1813.3,30.4,16.4,44.8
Ukraine,18809940,5097.0,2742.6,7531.1,27.1,14.6,40.0
Georgia,2722575,727.4,391.3,1080.6,26.7,14.4,39.7
Croatia,2462064,629.4,338.5,932.3,25.6,13.7,37.9
Romania,12161211,3051.0,1643.5,4513.1,25.1,13.5,37.1
Austria,3091065,768.2,416.0,1135.4,24.9,13.5,36.7
Latvia,961561,231.8,124.6,343.8,24.1,13.0,35.7
Germany,27985746,6657.2,3604.5,9702.3,23.8,12.9,34.7
Slovakia,2965062,696.1,377.2,1010.8,23.5,12.7,34.1
Estonia,492448,112.2,60.7,163.5,22.8,12.3,33.2
Serbia & Montenegro,5876494,1305.2,700.9,1942.3,22.2,11.9,33.1
Greece,5549124,1199.2,647.7,1775.1,21.6,11.7,32.0
Macedonia,1074917,230.2,123.8,341.4,21.4,11.5,31.8
Slovenia,1142937,240.5,125.6,379.0,21.0,11.0,33.2
Afghanistan,14271449,2949.0,1537.9,4691.5,20.7,10.8,32.9
Luxembourg,83934,17.0,9.4,25.2,20.3,11.1,30.0
Italy,22446478,4525.4,2437.7,6678.2,20.2,10.9,29.8
Denmark,900173,176.7,95.3,258.2,19.6,10.6,28.7
Lithuania,1418262,276.5,148.4,410.2,19.5,10.5,28.9
Switzerland,2351995,459.6,247.3,680.2,19.5,10.5,28.9
Russia,100974700,19159.7,10285.8,28411.4,19.0,10.2,28.1
Belarus,3252564,618.5,332.4,918.0,19.0,10.2,28.2
United Kingdom,15910512,3008.8,1624.3,4439.2,18.9,10.2,27.9
Poland,18953062,3543.9,1902.7,5257.9,18.7,10.0,27.7
Moldova,2665455,479.8,258.4,708.2,18.0,9.7,26.6
United States,64623017,10987.0,5920.5,16276.5,17.0,9.2,25.2
Belgium,358859,58.8,31.6,87.8,16.4,8.8,24.5
