country,pop_urban_25plus,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_mort_urban_est,cvd_25_mort_urban_lb,cvd_25_mort_urban_ub
Lesotho,170962.4,4.0,2.1,6.2,2.4,1.2,3.6
Bangladesh,9128104.3,201.6,106.8,305.9,2.2,1.2,3.4
Western Sahara,466.6,0.0,0.0,0.0,2.1,1.1,3.3
Namibia,184681.8,3.9,2.1,6.0,2.1,1.1,3.2
Chad,391604.4,7.9,4.2,12.3,2.0,1.1,3.1
Burundi,101079.5,1.8,1.0,2.8,1.8,0.9,2.7
Botswana,310365.3,5.6,3.0,8.8,1.8,1.0,2.8
South Africa,9858409.5,162.9,86.1,247.5,1.7,0.9,2.5
Guinea,759956.6,11.9,6.2,18.6,1.6,0.8,2.5
Ireland,1036071.8,15.9,8.4,23.6,1.5,0.8,2.3
Cameroon,2171817.7,30.5,16.1,47.2,1.4,0.7,2.2
Vietnam,6816328.8,78.8,42.0,122.3,1.2,0.6,1.8
Rwanda,276996.4,3.0,1.6,4.6,1.1,0.6,1.7
Chile,6265098.8,55.4,29.6,82.5,0.9,0.5,1.3
Brazil,62084876.8,547.3,293.2,811.9,0.9,0.5,1.3
Sierra Leone,417801.6,3.7,1.9,5.9,0.9,0.5,1.4
Gabon,325117.6,3.1,1.6,4.7,0.9,0.5,1.5
Guatemala,1257188.5,9.5,5.0,14.6,0.8,0.4,1.2
Sudan,3122287.6,26.1,13.8,40.2,0.8,0.4,1.3
Iceland,118099.2,0.9,0.5,1.4,0.8,0.4,1.2
Belize,34869.8,0.2,0.1,0.3,0.7,0.4,1.0
Ethiopia,2105489.1,14.5,7.5,22.8,0.7,0.4,1.1
Finland,2709304.7,15.1,8.1,22.3,0.6,0.3,0.8
Cote d'Ivory,2111919.4,10.8,5.6,16.8,0.5,0.3,0.8
Honduras,753375.0,2.9,1.5,4.4,0.4,0.2,0.6
Zimbabwe,1299118.6,3.7,2.0,5.7,0.3,0.2,0.4
Mauritania,267189.6,0.7,0.4,1.1,0.3,0.2,0.4
Kenya,1430951.8,4.4,2.3,6.8,0.3,0.2,0.5
Liberia,97940.6,0.2,0.1,0.2,0.2,0.1,0.3
Thailand,8654749.4,18.6,10.0,28.1,0.2,0.1,0.3
Malaysia,5872437.7,9.1,4.8,13.6,0.2,0.1,0.2
Uganda,577033.7,0.6,0.3,0.9,0.1,0.1,0.2
Yemen,863777.6,1.1,0.6,1.7,0.1,0.1,0.2
El Salvador,1268566.2,0.8,0.4,1.2,0.1,0.0,0.1
Indonesia,29881425.6,21.6,11.5,32.3,0.1,0.0,0.1
Eritrea,87135.8,0.0,0.0,0.0,0.0,0.0,0.0
Falkland Is.,1569.3,0.0,0.0,0.0,0.0,0.0,0.0
Niger,117588.3,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,38538.8,0.0,0.0,0.0,0.0,0.0,0.0
Timor Leste,52630.7,0.0,0.0,0.0,0.0,0.0,0.0
French Guiana,35558.3,0.0,0.0,0.0,0.0,0.0,0.0
Tanzania,1323006.4,0.0,0.0,0.1,0.0,0.0,0.0
Brunei,76494.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,131562.6,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,16637740.9,0.0,0.0,0.0,0.0,0.0,0.0
Australia,7980257.2,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,2688707.3,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,1969983.7,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,1734654.7,0.0,0.0,0.0,0.0,0.0,0.0
