country,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
China,100200.0,52900.0,155800.0
India,78500.0,41700.0,120500.0
Russia,11400.0,6000.0,17700.0
Bangladesh,10200.0,5300.0,16300.0
Indonesia,7400.0,3900.0,11500.0
Pakistan,7300.0,3900.0,11000.0
United States,4500.0,2400.0,6900.0
Japan,4400.0,2300.0,6900.0
Vietnam,4000.0,2100.0,6400.0
Egypt,3800.0,2000.0,6100.0
Ukraine,3700.0,1900.0,6100.0
Italy,2600.0,1400.0,4000.0
Myanmar,2400.0,1300.0,3700.0
Germany,2400.0,1300.0,3600.0
Thailand,2300.0,1200.0,3700.0
Nepal,2000.0,1100.0,3200.0
Romania,1900.0,1000.0,3000.0
Poland,1700.0,900.0,2700.0
Uzbekistan,1600.0,800.0,2800.0
Turkey,1500.0,800.0,2400.0
Philippines,1500.0,800.0,2300.0
Iran,1500.0,800.0,2200.0
Nigeria,1400.0,700.0,2200.0
North Korea,1400.0,700.0,2200.0
Afghanistan,1400.0,700.0,2700.0
"Congo, DRC",1300.0,600.0,2400.0
Sudan,1100.0,600.0,1800.0
Sri Lanka,1100.0,600.0,1800.0
Ethiopia,1100.0,600.0,1800.0
Morocco,1100.0,600.0,1700.0
Syria,1000.0,500.0,1700.0
Spain,900.0,500.0,1400.0
Serbia & Montenegro,900.0,500.0,1300.0
Mexico,800.0,400.0,1300.0
Greece,800.0,400.0,1200.0
United Kingdom,800.0,400.0,1200.0
Bulgaria,700.0,400.0,1000.0
Tanzania,700.0,400.0,1100.0
Algeria,700.0,400.0,1100.0
Iraq,700.0,300.0,1200.0
Yemen,700.0,400.0,1200.0
France,600.0,300.0,1000.0
Brazil,600.0,300.0,1000.0
Kazakhstan,600.0,300.0,800.0
Hungary,600.0,300.0,900.0
Kenya,600.0,300.0,900.0
South Africa,600.0,300.0,900.0
Georgia,500.0,200.0,700.0
South Korea,500.0,300.0,800.0
Cambodia,500.0,200.0,700.0
Uganda,500.0,300.0,800.0
Azerbaijan,500.0,200.0,700.0
Portugal,400.0,200.0,700.0
Tajikistan,400.0,200.0,600.0
Madagascar,400.0,200.0,600.0
Belarus,400.0,200.0,700.0
Ghana,400.0,200.0,600.0
Czech Republic,400.0,200.0,600.0
Austria,300.0,100.0,400.0
Tunisia,300.0,100.0,500.0
Slovakia,300.0,200.0,500.0
Malaysia,300.0,200.0,500.0
Zambia,300.0,100.0,400.0
Croatia,300.0,200.0,500.0
Canada,300.0,200.0,500.0
Bosnia & Herzegovina,300.0,200.0,500.0
Moldova,300.0,100.0,400.0
Mozambique,300.0,100.0,400.0
Kyrgyzstan,300.0,200.0,500.0
Turkmenistan,300.0,100.0,400.0
Malawi,200.0,100.0,400.0
Saudi Arabia,200.0,100.0,300.0
Rwanda,200.0,100.0,300.0
Macedonia,200.0,100.0,300.0
Lithuania,200.0,100.0,300.0
Netherlands,200.0,100.0,300.0
