country,pop_rural_25plus,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub,cvd_25_mort_rural_est,cvd_25_mort_rural_lb,cvd_25_mort_rural_ub
Afghanistan,5030170.7,2949.0,1537.9,4691.5,58.6,30.6,93.3
Czech Republic,2195839.1,1117.3,601.8,1654.0,50.9,27.4,75.3
Bulgaria,1958164.3,963.9,519.0,1432.1,49.2,26.5,73.1
Hungary,2651307.1,1229.9,663.7,1813.3,46.4,25.0,68.4
Georgia,1630566.4,727.4,391.3,1080.6,44.6,24.0,66.3
Romania,7260877.6,3051.0,1643.5,4513.1,42.0,22.6,62.2
Ukraine,12221783.2,5097.0,2742.6,7531.1,41.7,22.4,61.6
Slovakia,1771987.0,696.1,377.2,1010.8,39.3,21.3,57.0
Croatia,1622391.2,629.4,338.5,932.3,38.8,20.9,57.5
Macedonia,607581.5,230.2,123.8,341.4,37.9,20.4,56.2
Latvia,623111.9,231.8,124.6,343.8,37.2,20.0,55.2
Austria,2081540.0,768.2,416.0,1135.4,36.9,20.0,54.5
Kyrgyzstan,1599093.6,588.3,317.7,869.9,36.8,19.9,54.4
Estonia,315213.9,112.2,60.7,163.5,35.6,19.3,51.9
Serbia & Montenegro,3717277.8,1305.2,700.9,1942.3,35.1,18.9,52.2
Germany,19694041.2,6657.2,3604.5,9702.3,33.8,18.3,49.3
Greece,3626762.6,1199.2,647.7,1775.1,33.1,17.9,48.9
Slovenia,733642.8,240.5,125.6,379.0,32.8,17.1,51.7
Lithuania,884019.9,276.5,148.4,410.2,31.3,16.8,46.4
Moldova,1540931.5,479.8,258.4,708.2,31.1,16.8,46.0
Poland,11561913.8,3543.9,1902.7,5257.9,30.7,16.5,45.5
Belarus,2051926.0,618.5,332.4,918.0,30.1,16.2,44.7
Tajikistan,1850530.3,556.4,300.2,825.9,30.1,16.2,44.6
Uzbekistan,6907588.6,2063.7,1110.9,3051.4,29.9,16.1,44.2
Russia,64085730.6,19159.7,10285.8,28411.4,29.9,16.1,44.3
Italy,15251497.3,4525.4,2437.7,6678.2,29.7,16.0,43.8
Luxembourg,58129.4,17.0,9.4,25.2,29.3,16.1,43.3
Denmark,610950.5,176.7,95.3,258.2,28.9,15.6,42.3
United Kingdom,10563134.9,3008.8,1624.3,4439.2,28.5,15.4,42.0
Switzerland,1629240.3,459.6,247.3,680.2,28.2,15.2,41.7
Turkmenistan,1110237.8,306.6,165.4,453.1,27.6,14.9,40.8
United States,40863526.8,10987.0,5920.5,16276.5,26.9,14.5,39.8
Kazakhstan,4006269.2,1078.6,580.7,1597.7,26.9,14.5,39.9
Portugal,3285025.2,846.5,456.1,1252.1,25.8,13.9,38.1
Azerbaijan,2269950.7,576.3,310.9,855.5,25.4,13.7,37.7
Mongolia,407849.1,101.5,54.0,153.9,24.9,13.3,37.7
Egypt,17312169.9,4289.3,2311.7,6404.9,24.8,13.4,37.0
Sudan,7096228.8,1743.0,920.6,2682.3,24.6,13.0,37.8
Belgium,243431.7,58.8,31.6,87.8,24.2,13.0,36.1
Lebanon,248629.6,59.5,30.8,95.3,23.9,12.4,38.3
Sweden,1141470.6,268.1,144.4,392.7,23.5,12.7,34.4
Armenia,762197.0,179.1,96.2,264.8,23.5,12.6,34.7
Iraq,2928146.1,685.9,363.0,1048.5,23.4,12.4,35.8
Syria,2795711.9,640.1,337.9,993.3,22.9,12.1,35.5
Algeria,4347681.7,978.1,517.9,1504.9,22.5,11.9,34.6
Central African Republic,818299.4,179.8,95.0,277.2,22.0,11.6,33.9
