cont_ID,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub,cvd_25_death_total_est,cvd_25_death_total_lb,cvd_25_death_total_ub,year
0,49200.5819218294,26309.10582559429,73900.86048226217,175708.27018982504,93995.16602974836,263797.4047650071,224908.85211165444,120304.27185534264,337698.26524726924,1990
0,49355.51188601069,26359.167297603544,74316.83538106369,177255.5107847078,94762.94739134012,266476.8448966882,226611.0226707185,121122.11468894366,340793.6802777519,1991
0,52077.200324819474,27809.41326087228,78366.4782190825,180044.65319199345,96290.60580546824,270561.4156307524,232121.85351681293,124100.01906634052,348927.8938498349,1992
0,53529.82687493035,28575.15498944324,80599.86395255223,183696.60742435636,98249.43932035,276214.2563823899,237226.4342992867,126824.59430979325,356814.1203349421,1993
0,60009.39286005785,32000.924424696557,90448.66984648824,190647.69035783104,101950.92169039094,287059.5973795557,250657.0832178889,133951.8461150875,377508.267226044,1994
0,66205.44350383901,35309.448968205026,99797.41496028165,192299.8778604904,102806.76566561044,289966.6364063616,258505.32136432943,138116.21463381549,389764.0513666432,1995
0,72211.14857978815,38595.75152433185,108669.85472526816,199783.51884354907,106848.96174480052,301050.9073482102,271994.66742333723,145444.71326913236,409720.7620734784,1996
0,71020.59792505196,37950.9212212647,106921.82728274829,201615.20293302395,107821.61602096824,303685.15599165834,272635.8008580759,145772.53724223294,410606.9832744066,1997
0,79180.49447254051,42376.69799822951,118676.31831405102,211430.82051451743,113276.71795924856,317057.8853766803,290611.31498705794,155653.41595747808,435734.2036907313,1998
0,75550.14261418021,40481.084858078815,113015.59671976564,206090.7598192763,110579.60371936236,307935.0134656323,281640.9024334565,151060.68857744115,420950.6101853979,1999
0,87866.58875166194,47175.45313770375,131049.17195632508,216023.829204316,115995.13724634094,322651.9139101614,303890.4179559779,163170.59038404468,453701.0858664865,2000
0,88338.92835211322,47341.242778048814,131830.62554275212,217351.48289817516,116619.1837020018,324521.8517027284,305690.4112502884,163960.4264800506,456352.4772454805,2001
0,93600.86242850711,50177.00277158876,140222.0656062054,224191.3819443612,120257.18167094026,335504.4377265201,317792.2443728683,170434.18444252902,475726.5033327255,2002
0,110208.87644698142,59084.12486310974,164960.96314599915,238364.7079683009,127912.16354106636,356893.29499462195,348573.5844152824,186996.2884041761,521854.2581406211,2003
0,117904.386085501,63085.23449913944,176766.14126647497,234558.60742557683,125719.88425547496,352048.805747209,352462.99351107783,188805.1187546144,528814.947013684,2004
0,133257.5834805092,71444.43680031112,199982.9244792024,247811.585010715,132778.10950361958,372504.10625686735,381069.1684912242,204222.5463039307,572487.0307360697,2005
0,135466.4657202669,72600.77177940316,203738.37194253143,248174.57678216425,132822.61629583308,374046.1803325832,383641.0425024312,205423.38807523623,577784.5522751146,2006
0,148690.1555973813,79753.73129985743,222951.54762269405,257526.00213902895,138128.0177536179,386860.008127587,406216.1577364103,217881.74905347533,609811.5557502811,2007
0,164723.94873403493,88605.84760814572,245849.56875678443,265678.1893648433,142626.785771032,397824.6284856856,430402.1380988782,231232.6333791777,643674.19724247,2008
0,164667.12901086183,88552.7707084265,245532.5374755609,265496.4620253342,142600.05473368513,396574.65236186015,430163.591036196,231152.82544211164,642107.189837421,2009
0,176409.70862322894,95098.66780646802,262437.7437861652,275292.69322085206,148052.37499003217,410348.56197859545,451702.401844081,243151.0427965002,672786.3057647606,2010
0,183011.93067817355,98375.2587171094,272836.5831063743,273567.7309089533,147027.53757545786,408439.7354019323,456579.6615871269,245402.79629256728,681276.3185083066,2011
0,194536.04392148988,104446.72097764624,290685.07933844643,279009.2442931164,149834.46540298493,417334.283915602,473545.28821460623,254281.1863806312,708019.3632540484,2012
0,218833.40958540945,117720.12425000416,327649.51351722074,282591.57082404284,151743.4923727599,423567.7453199454,501424.9804094522,269463.6166227641,751217.2588371661,2013
0,211351.64063882144,113265.53370480612,318325.8278726908,277449.55492578,148646.8476524905,418084.93574714847,488801.1955646015,261912.38135729663,736410.7636198392,2014
0,191037.18290141827,102193.24044218754,288484.9403942476,258627.2898149306,138360.83442898892,390607.0125582574,449664.4727163489,240554.07487117645,679091.952952505,2015
0,186167.9483261361,99244.75126792464,283037.9315672954,243782.0395535032,129874.4600525176,370978.7623612455,429949.9878796393,229119.21132044223,654016.6939285409,2016
0,197653.4443712246,104914.25311805063,303268.9618256291,245891.01536462476,130511.40054191322,377263.3094727,443544.45973584935,235425.65365996383,680532.2712983291,2017
0,201853.16938233023,106960.82104938092,310299.7233790904,244026.3207556209,129351.40530288566,375651.9098403932,445879.4901379511,236312.22635226656,685951.6332194835,2018
0,199061.00575328103,105003.32129911256,309420.870040919,237444.4215674965,125207.27329729394,369094.2746569337,436505.4273207775,230210.5945964065,678515.1446978527,2019
