cont_ID,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub,cvd_25_death_total_est,cvd_25_death_total_lb,cvd_25_death_total_ub,year
1,27678.08606871716,14900.492022082424,41130.033540199474,13719.554473632636,7377.5725159988415,20391.088598099104,41397.64054234979,22278.064538081264,61521.12213829858,1990
1,27579.33061525168,14808.34488195256,41116.11870946919,13398.382866752278,7190.400051162293,19978.53596068135,40977.71348200396,21998.744933114853,61094.65467015054,1991
1,25400.35194715284,13587.423542401026,38030.566936265495,12939.25195904898,6936.534491200845,19355.28597496344,38339.603906201824,20523.95803360187,57385.85291122893,1992
1,27614.1639529774,14757.62799969777,41470.18193619276,13175.511103675555,7055.028988016302,19786.105296188907,40789.67505665296,21812.656987714072,61256.28723238167,1993
1,27995.40756326054,15000.356803203496,42055.10724011705,13166.786351029306,7053.942952726932,19759.051158335165,41162.19391428985,22054.299755930428,61814.158398452215,1994
1,28951.807985254924,15427.744673236331,43867.26777122565,13239.036540105846,7068.63730468481,20025.663411189253,42190.84452536077,22496.381977921144,63892.9311824149,1995
1,28008.17315532536,14956.919406104009,42221.63244760382,12730.651957714836,6808.803675016147,19157.814934902064,40738.82511304019,21765.723081120155,61379.44738250588,1996
1,28790.00297067064,15398.910746030986,43128.72638249011,12349.791026367797,6620.13319862894,18496.31237025192,41139.79399703843,22019.043944659927,61625.03875274202,1997
1,31570.945249143067,16912.02399962241,47191.89615973118,13302.935760405167,7137.77048563978,19881.41099455861,44873.88100954823,24049.79448526219,67073.3071542898,1998
1,30142.03960248939,16177.120050622918,44943.25079161792,12493.41585781004,6711.253748913317,18619.258232902797,42635.45546029943,22888.373799536235,63562.50902452071,1999
1,28873.64499834461,15470.91962715954,43047.46807650317,12052.877172305394,6471.606638220869,17951.111380461694,40926.52217065001,21942.52626538041,60998.57945696487,2000
1,29014.814132350395,15566.128299936508,43216.25385765573,11676.609699951356,6277.284782712956,17381.27835921868,40691.42383230175,21843.413082649466,60597.53221687442,2001
1,28654.89094385306,15331.248399597494,42850.6249074173,11248.439160912349,6036.412507509128,16799.232176525875,39903.33010476541,21367.660907106623,59649.85708394318,2002
1,28227.762235902817,15097.127246948472,42395.01567705713,11018.710441817964,5902.103044942427,16521.059306896455,39246.47267772078,20999.230291890897,58916.07498395359,2003
1,24952.889980021704,13304.1594839376,37616.02225202748,9689.940495890462,5173.32700918839,14598.354998763978,34642.83047591217,18477.48649312599,52214.377250791455,2004
1,26536.07628220993,14147.818611444898,40229.94101863424,9898.225106204514,5277.510814393225,14987.425730509249,36434.301388414446,19425.32942583812,55217.36674914348,2005
1,25443.10509066723,13564.719753431817,38422.646048584815,9176.514179604954,4899.01216113044,13841.653997230977,34619.61927027219,18463.731914562257,52264.30004581579,2006
1,24821.65801890645,13240.579841178384,37365.186232570944,9012.0684074323,4812.396977545393,13578.3992148391,33833.726426338755,18052.97681872378,50943.58544741004,2007
1,24089.942575347344,12879.467414239229,36192.04240612047,8249.698210247561,4402.516649554769,12412.381585674664,32339.640785594907,17281.984063793996,48604.423991795134,2008
1,21593.554627895275,11513.053278625388,32451.69365694839,7638.816380073351,4075.323814533817,11505.639556053447,29232.371007968628,15588.377093159204,43957.33321300184,2009
1,22533.72964121052,12065.663813762429,33717.1742783611,7640.686103039208,4083.875812538446,11462.970326724171,30174.415744249724,16149.539626300875,45180.14460508527,2010
1,22899.774488455525,12232.61476271491,34317.25952672329,7722.82690967671,4125.99842698529,11596.660345140564,30622.60139813224,16358.6131897002,45913.91987186385,2011
1,23559.433281373415,12553.67264273203,35493.28165166377,7755.726515844764,4137.067138817758,11691.443791181096,31315.159797218184,16690.73978154979,47184.72544284487,2012
1,21820.206323909868,11622.221401677249,32994.630001967205,7241.068940883108,3856.0176195144672,10953.211624809348,29061.275264792974,15478.239021191715,43947.84162677656,2013
1,21655.90842248284,11500.934104727448,32908.53169211848,7032.895457301175,3733.505141562354,10703.2732182889,28688.803879784016,15234.4392462898,43611.80491040738,2014
1,23232.82862755017,12350.464874878988,35375.983008032774,7259.541356739904,3851.934772719397,11063.995729210868,30492.369984290075,16202.399647598384,46439.97873724364,2015
1,22695.58684055645,12039.64436871325,34571.897216440506,7089.935275703362,3760.337019904707,10820.414376836188,29785.522116259814,15799.981388617958,45392.311593276696,2016
1,23688.83650095911,12537.188847204634,36284.00986361227,7146.691473454696,3778.9038326949735,10968.527526558126,30835.52797441381,16316.092679899608,47252.5373901704,2017
1,22059.309817490303,11667.94149068874,33919.683788453585,6803.153442746598,3589.6602005643645,10500.440061291603,28862.463260236906,15257.601691253103,44420.12384974519,2018
1,20995.085580778064,11051.040301155714,32619.51160180973,6597.828054237118,3464.9257320420043,10271.22905092832,27592.913635015186,14515.966033197716,42890.74065273805,2019
