M49C,cvd_25_mort_urban_est,cvd_25_mort_urban_lb,cvd_25_mort_urban_ub,cvd_25_mort_rural_est,cvd_25_mort_rural_lb,cvd_25_mort_rural_ub
Africa,5.5,2.8,8.7,10.0,5.2,16.1
Americas,5.2,2.7,8.0,9.1,4.8,14.2
Asia,17.2,9.1,26.7,21.1,11.1,32.8
Europe,8.2,4.3,12.7,22.5,11.8,35.0
Oceania,0.0,0.0,0.0,2.1,1.1,3.2
