M49C,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
Africa,189800.0,97300.0,305500.0,403800.0,206500.0,655300.0
Americas,379700.0,199800.0,585100.0,131900.0,69300.0,205000.0
Asia,3887200.0,2046700.0,6059200.0,4931300.0,2596700.0,7681700.0
Europe,465100.0,244200.0,720600.0,417300.0,219300.0,648700.0
Oceania,0.0,0.0,0.0,1200.0,700.0,1900.0
