M49C,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
Africa,83600.0,44000.0,129100.0,525700.0,276500.0,811900.0
Americas,487000.0,261900.0,719300.0,274800.0,147900.0,407100.0
Asia,1150100.0,613100.0,1728700.0,4281900.0,2289300.0,6436600.0
Europe,589700.0,316200.0,873500.0,904900.0,487600.0,1334300.0
Oceania,0.0,0.0,0.0,2200.0,1200.0,3400.0
