M49C,cvd_25_omr_urban_est,cvd_25_omr_urban_lb,cvd_25_omr_urban_ub,cvd_25_omr_rural_est,cvd_25_omr_rural_lb,cvd_25_omr_rural_ub
Africa,1.7,0.9,2.6,4.9,2.6,7.5
Americas,4.9,2.6,7.2,7.4,4.0,11.0
Asia,3.8,2.0,5.7,7.2,3.9,10.8
Europe,7.3,3.9,10.8,20.3,11.0,30.1
Oceania,0.0,0.0,0.0,1.5,0.8,2.3
