M49C,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub,cvd_25_death_rural_est,cvd_25_death_rural_lb,cvd_25_death_rural_ub
Africa,8700.0,4500.0,13900.0,17900.0,9200.0,28700.0
Americas,23400.0,12300.0,36400.0,7900.0,4100.0,12300.0
Asia,202800.0,107000.0,315200.0,241500.0,127400.0,375500.0
Europe,32300.0,17000.0,50200.0,27600.0,14500.0,42900.0
Oceania,0.0,0.0,0.0,100.0,0.0,100.0
